id;nome;pais
251;Matt Freese;Estados Unidos
252;Chris Richards;Estados Unidos
253;Tim Ream;Estados Unidos
254;Mark McKenzie;Estados Unidos
255;Alex Freeman;Estados Unidos
256;Antonee Robinson;Estados Unidos
257;Tyler Adams;Estados Unidos
258;Tanner Tessmann;Estados Unidos
259;Weston McKennie;Estados Unidos
260;Christian Roldan;Estados Unidos
261;Timothy Weah;Estados Unidos
262;Foto do Time;Estados Unidos
263;Diego Luna;Estados Unidos
264;Malik Tillman;Estados Unidos
265;Christian Pulisic;Estados Unidos
266;Brenden Aaronson;Estados Unidos
267;Ricardo Pepi;Estados Unidos
268;Haji Wright;Estados Unidos
269;Folarin Balogun;Estados Unidos
270;Escudo Paraguai;Paraguai
271;Roberto Fernández;Paraguai
272;Orlando Gill;Paraguai
273;Gustavo Gómez;Paraguai
274;Fabián Balbuena;Paraguai
275;Juan José Cáceres;Paraguai
276;Omar Alderete;Paraguai
277;Junior Alonso;Paraguai
278;Mathías Villasanti;Paraguai
279;Diego Gómez;Paraguai
280;Damián Bobadilla;Paraguai
281;Andrés Cubas;Paraguai
282;Foto do Time;Paraguai
283;Matías Galarza Fonda;Paraguai
284;Julio Enciso;Paraguai
285;Miguel Almirón;Paraguai
286;Ramón Sosa;Paraguai
287;Ángel Romero;Paraguai
288;Robert Morales;Paraguai
289;Antonio Sanabria;Paraguai
290;Escudo Turquia;Turquia
291;Ugurcan Cakir;Turquia
292;Mert Muldur;Turquia
293;Zeki Celik;Turquia
294;Abdulkerim Bardakci;Turquia
295;Caglar Soyuncu;Turquia
296;Merih Demiral;Turquia
297;Ferdi Kadioglu;Turquia
298;Kaan Ayhan;Turquia
299;Ismail Yuksek;Turquia
300;Hakan Calhanoglu;Turquia
301;Orkun Kokcu;Turquia
302;Foto do Time;Turquia
303;Arda Güler;Turquia
304;Irfan Can Kahveci;Turquia
305;Yunus Akgun;Turquia
306;Can Uzun;Turquia
307;Baris Alper Yilmaz;Turquia
308;Kerem Akturkoglu;Turquia
309;Kenan Yildiz;Turquia
310;Escudo Austrália;Austrália
311;Mathew Ryan;Austrália
312;Joe Gauci;Austrália
313;Harry Souttar;Austrália
314;Alessandro Circati;Austrália
315;Jordan Bos;Austrália
316;Aziz Behich;Austrália
317;Cameron Burgess;Austrália
318;Lewis Miller;Austrália
319;Milos Degenek;Austrália
320;Jackson Irvine;Austrália
321;Riley McGree;Austrália
322;Foto do Time;Austrália
323;Aiden O'Neill;Austrália
324;Connor Metcalfe;Austrália
325;Patrick Yazbek;Austrália
326;Craig Goodwin;Austrália
327;Kusini Yengi;Austrália
328;Nestory Irankunda;Austrália
329;Mohamed Touré;Austrália
330;Escudo Alemanha;Alemanha
331;Marc-André ter Stegen;Alemanha
332;Jonathan Tah;Alemanha
333;David Raum;Alemanha
334;Nico Schlotterbeck;Alemanha
335;Antonio Rüdiger;Alemanha
336;Waldemar Anton;Alemanha
337;Ridle Baku;Alemanha
338;Maximilian Mittelstädt;Alemanha
339;Joshua Kimmich;Alemanha
340;Florian Wirtz;Alemanha
341;Felix Nmecha;Alemanha
342;Foto do Time;Alemanha
343;Leon Goretzka;Alemanha
344;Jamal Musiala;Alemanha
345;Serge Gnabry;Alemanha
346;Kai Havertz;Alemanha
347;Leroy Sané;Alemanha
348;Karim Adeyemi;Alemanha
349;Nick Woltemade;Alemanha
350;Escudo Equador;Equador
351;Hernán Galíndez;Equador
352;Gonzalo Valle;Equador
353;Piero Hincapié;Equador
354;Pervis Estupiñán;Equador
355;Willian Pacho;Equador
356;Ángelo Preciado;Equador
357;Joel Ordóñez;Equador
358;Moisés Caicedo;Equador
359;Alan Franco;Equador
360;Kendry Páez;Equador
361;Pedro Vite;Equador
362;Foto do Time;Equador
363;John Yeboah;Equador
364;Leonardo Campana;Equador
365;Gonzalo Plata;Equador
366;Nilson Angulo;Equador
367;Alan Minda;Equador
368;Kevin Rodríguez;Equador
369;Enner Valencia;Equador
370;Escudo Costa do Marfim;Costa do Marfim
371;Yahia Fofana;Costa do Marfim
372;Ghislain Konan;Costa do Marfim
373;Wilfried Singo;Costa do Marfim
374;Odilon Kossounou;Costa do Marfim
375;Evan Ndicka;Costa do Marfim
376;Willy Boly;Costa do Marfim
377;Emmanuel Agbadou;Costa do Marfim
378;Ousmane Diomande;Costa do Marfim
379;Franck Kessié;Costa do Marfim
380;Seko Fofana;Costa do Marfim
381;Ibrahim Sangaré;Costa do Marfim
382;Foto do Time;Costa do Marfim
383;Jean-Philippe Gbamin;Costa do Marfim
384;Amad Diallo;Costa do Marfim
385;Sébastien Haller;Costa do Marfim
386;Simon Adingra;Costa do Marfim
387;Yan Diomande;Costa do Marfim
388;Evann Guessand;Costa do Marfim
389;Oumar Diakité;Costa do Marfim
390;Escudo Curaçau;Curaçau
391;Eloy Room;Curaçau
392;Armando Obispo;Curaçau
393;Sherel Floranus;Curaçau
394;Jurien Gaari;Curaçau
395;Joshua Brenet;Curaçau
396;Roshon Van Eijma;Curaçau
397;Shurandy Sambo;Curaçau
398;Livano Comenencia;Curaçau
399;Godfried Roemeratoe;Curaçau
400;Juninho Bacuna;Curaçau
401;Leandro Bacuna;Curaçau
402;Foto do Time;Curaçau
403;Tahith Chong;Curaçau
404;Kenji Gorré;Curaçau
405;Jearl Margaritha;Curaçau
406;Jurgen Locadia;Curaçau
407;Jeremy Antonisse;Curaçau
408;Gervane Kastaneer;Curaçau
409;Sontje Hansen;Curaçau
410;Escudo Holanda;Holanda
411;Bart Verbruggen;Holanda
412;Virgil van Dijk;Holanda
413;Micky van de Ven;Holanda
414;Jurriën Timber;Holanda
415;Denzel Dumfries;Holanda
416;Nathan Aké;Holanda
417;Jeremie Frimpong;Holanda
418;Jan Paul van Hecke;Holanda
419;Tijjani Reijnders;Holanda
420;Ryan Gravenberch;Holanda
421;Teun Koopmeiners;Holanda
422;Foto do Time;Holanda
423;Frenkie de Jong;Holanda
424;Xavi Simons;Holanda
425;Justin Kluivert;Holanda
426;Memphis Depay;Holanda
427;Donyell Malen;Holanda
428;Wout Weghorst;Holanda
429;Cody Gakpo;Holanda
430;Escudo Japão;Japão
431;Zion Suzuki;Japão
432;Henry Heroki Mochizuki;Japão
433;Ayumu Seko;Japão
434;Junnosuke Suzuki;Japão
435;Shogo Taniguchi;Japão
436;Tsuyoshi Watanabe;Japão
437;Kaishu Sano;Japão
438;Yuki Soma;Japão
439;Ao Tanaka;Japão
440;Daichi Kamada;Japão
441;Takefusa Kubo;Japão
442;Foto do Time;Japão
443;Ritsu Doan;Japão
444;Keito Nakamura;Japão
445;Takumi Minamino;Japão
446;Shuto Machino;Japão
447;Junya Ito;Japão
448;Koki Ogawa;Japão
449;Ayase Ueda;Japão
450;Escudo Tunísia;Tunísia
451;Bechir Ben Said;Tunísia
452;Aymen Dahmen;Tunísia
453;Van Valery;Tunísia
454;Montassar Talbi;Tunísia
455;Yassine Meriah;Tunísia
456;Ali Abdi;Tunísia
457;Dylan Bronn;Tunísia
458;Ellyes Skhiri;Tunísia
459;Aissa Laidouni;Tunísia
460;Ferjani Sassi;Tunísia
461;Mohamed Ali Ben Romdhane;Tunísia
462;Foto do Time;Tunísia
463;Hannibal Mejbri;Tunísia
464;Elias Achouri;Tunísia
465;Elias Saad;Tunísia
466;Hazem Mastouri;Tunísia
467;Ismael Gharbi;Tunísia
468;Sayfallah Ltaief;Tunísia
469;Naim Sliti;Tunísia
470;Escudo Suécia;Suécia
471;Victor Johansson;Suécia
472;Isak Hien;Suécia
473;Gabriel Gudmundsson;Suécia
474;Emil Holm;Suécia
475;Victor Nilsson Lindelöf;Suécia
476;Gustaf Lagerbielke;Suécia
477;Lucas Bergvall;Suécia
478;Hugo Larsson;Suécia
479;Jesper Karlström;Suécia
480;Yasin Ayari;Suécia
481;Mattias Svanberg;Suécia
482;Foto do Time;Suécia
483;Daniel Svensson;Suécia
484;Ken Sema;Suécia
485;Roony Bardghji;Suécia
486;Dejan Kulusevski;Suécia
487;Anthony Elanga;Suécia
488;Alexander Isak;Suécia
489;Viktor Gyökeres;Suécia
490;Escudo Bélgica;Bélgica
491;Thibaut Courtois;Bélgica
492;Arthur Theate;Bélgica
493;Timothy Castagne;Bélgica
494;Zeno Debast;Bélgica
495;Brandon Mechele;Bélgica
496;Maxim De Cuyper;Bélgica
497;Thomas Meunier;Bélgica
498;Youri Tielemans;Bélgica
499;Amadou Onana;Bélgica
500;Nicolas Raskin;Bélgica
501;Alexis Saelemaekers;Bélgica
502;Foto do Time;Bélgica
503;Hans Vanaken;Bélgica
504;Kevin De Bruyne;Bélgica
505;Jérémy Doku;Bélgica
506;Charles De Ketelaere;Bélgica
507;Leandro Trossard;Bélgica
508;Loïs Openda;Bélgica
509;Romelu Lukaku;Bélgica
510;Escudo Irã;Irã
511;Alireza Beiranvand;Irã
512;Morteza Pouraliganji;Irã
513;Ehsan Hajsafi;Irã
514;Milad Mohammadi;Irã
515;Shoja Khalilzadeh;Irã
516;Ramin Rezaeian;Irã
517;Hossein Kanaani;Irã
518;Sadegh Moharrami;Irã
519;Saleh Hardani;Irã
520;Saeed Ezatolahi;Irã
521;Saman Ghoddos;Irã
522;Foto do Time;Irã
523;Omid Noorafkan;Irã
524;Roozbeh Cheshmi;Irã
525;Mohammad Mohebi;Irã
526;Sardar Azmoun;Irã
527;Mehdi Taremi;Irã
528;Alireza Jahanbakhsh;Irã
529;Ali Gholizadeh;Irã
530;Escudo Egito;Egito
531;Mohamed El Shenawy;Egito
532;Mohamed Hany;Egito
533;Mohamed Hamdy;Egito
534;Yasser Ibrahim;Egito
535;Khaled Sobhi;Egito
536;Ramy Rabia;Egito
537;Hossam Abdelmaguid;Egito
538;Ahmed Fatouh;Egito
539;Marwan Attia;Egito
540;Zizo;Egito
541;Hamdy Fathy;Egito
542;Foto do Time;Egito
543;Mohamed Lasheen;Egito
544;Emam Ashour;Egito
545;Osama Faisal;Egito
546;Mohamed Salah;Egito
547;Mostafa Mohamed;Egito
548;Trezeguet;Egito
549;Omar Marmoush;Egito
550;Escudo Nova Zelândia;Nova Zelândia
551;Max Crocombe-Payne;Nova Zelândia
552;Alex Paulsen;Nova Zelândia
553;Michael Boxall;Nova Zelândia
554;Liberato Cacace;Nova Zelândia
555;Tim Payne;Nova Zelândia
556;Tyler Bindon;Nova Zelândia
557;Francis de Vries;Nova Zelândia
558;Finn Surman;Nova Zelândia
559;Joe Bell;Nova Zelândia
560;Sarpreet Singh;Nova Zelândia
561;Ryan Thomas;Nova Zelândia
562;Foto do Time;Nova Zelândia
563;Matthew Garbett;Nova Zelândia
564;Marko Stamenić;Nova Zelândia
565;Ben Old;Nova Zelândia
566;Chris Wood;Nova Zelândia
567;Elijah Just;Nova Zelândia
568;Callum McCowatt;Nova Zelândia
569;Kosta Barbarouses;Nova Zelândia
570;Escudo Espanha;Espanha
571;Unai Simón;Espanha
572;Robin Le Normand;Espanha
573;Aymeric Laporte;Espanha
574;Dean Huijsen;Espanha
575;Pedro Porro;Espanha
576;Dani Carvajal;Espanha
577;Marc Cucurella;Espanha
578;Martín Zubimendi;Espanha
579;Rodri;Espanha
580;Pedri;Espanha
581;Fabián Ruiz;Espanha
582;Foto do Time;Espanha
583;Mikel Merino;Espanha
584;Lamine Yamal;Espanha
585;Dani Olmo;Espanha
586;Nico Williams;Espanha
587;Ferran Torres;Espanha
588;Álvaro Morata;Espanha
589;Mikel Oyarzabal;Espanha
590;Escudo Uruguai;Uruguai
591;Sergio Rochet;Uruguai
592;Santiago Mele;Uruguai
593;Ronald Araujo;Uruguai
594;José María Giménez;Uruguai
595;Sebastian Caceres;Uruguai
596;Mathias Olivera;Uruguai
597;Guillermo Varela;Uruguai
598;Nahitan Nandez;Uruguai
599;Federico Valverde;Uruguai
600;Giorgian De Arrascaeta;Uruguai
601;Rodrigo Bentancur;Uruguai
602;Foto do Time;Uruguai
603;Manuel Ugarte;Uruguai
604;Nicolás de la Cruz;Uruguai
605;Maxi Araujo;Uruguai
606;Darwin Núñez;Uruguai
607;Federico Viñas;Uruguai
608;Rodrigo Aguirre;Uruguai
609;Facundo Pellistri;Uruguai
610;Escudo Arábia Saudita;Arábia Saudita
611;Nawaf Alaqidi;Arábia Saudita
612;Abdulrahman Al-Sanbi;Arábia Saudita
613;Saud Abdulhamid;Arábia Saudita
614;Nawaf Boushal;Arábia Saudita
615;Jihad Thakri;Arábia Saudita
616;Moteb Al-Harbi;Arábia Saudita
617;Hassan Altambakti;Arábia Saudita
618;Musab Aljuwayr;Arábia Saudita
619;Ziyad Aljohani;Arábia Saudita
620;Abdullah Alkhaibari;Arábia Saudita
